시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울,광진구,의료,여자,85세이상,20,*,*,8,7,0,0,0,0,0
서울,광진구,감경,남자,65세미만,25,0,*,10,6,*,*,0,0,*
서울,광진구,감경,남자,65-69세,35,*,*,*,16,*,0,*,0,0
서울,광진구,감경,남자,70-74세,74,*,7,24,29,6,0,0,*,0
서울,광진구,감경,남자,75-79세,76,*,7,21,36,6,*,0,0,0
서울,광진구,감경,남자,80-84세,82,*,8,23,35,8,*,*,0,0
서울,광진구,감경,남자,85세이상,101,*,6,25,54,5,5,0,0,0
서울,광진구,감경,여자,65세미만,21,*,*,*,7,0,0,0,0,0
서울,광진구,감경,여자,65-69세,58,*,5,13,29,*,*,0,*,0
서울,광진구,감경,여자,70-74세,72,*,5,19,34,*,*,0,0,*
서울,광진구,감경,여자,75-79세,140,5,9,37,64,12,*,0,*,0
서울,광진구,감경,여자,80-84세,287,9,24,74,126,30,7,*,*,0
서울,광진구,감경,여자,85세이상,477,20,54,156,211,18,*,0,0,0
서울,동대문구,일반,남자,65세미만,68,13,*,10,8,*,*,7,7,*
서울,동대문구,일반,남자,65-69세,142,9,10,19,24,*,*,17,10,7
서울,동대문구,일반,남자,70-74세,204,16,10,22,61,15,*,24,7,*
서울,동대문구,일반,남자,75-79세,325,14,19,52,82,39,7,27,16,8
서울,동대문구,일반,남자,80-84세,427,17,25,72,135,47,12,24,9,8
서울,동대문구,일반,남자,85세이상,507,19,28,100,181,52,7,24,12,11
서울,동대문구,일반,여자,65세미만,53,5,*,5,8,*,0,11,*,0
서울,동대문구,일반,여자,65-69세,180,16,7,21,23,6,*,29,12,7
서울,동대문구,일반,여자,70-74세,311,21,10,36,59,13,12,46,14,*
서울,동대문구,일반,여자,75-79세,635,26,24,89,167,53,27,64,25,12
서울,동대문구,일반,여자,80-84세,1025,46,39,177,356,112,28,62,32,14
서울,동대문구,일반,여자,85세이상,1269,45,98,302,455,115,20,45,28,8
서울,동대문구,기초,남자,65세미만,91,*,*,19,26,*,0,13,*,*
서울,동대문구,기초,남자,65-69세,114,*,6,16,37,9,5,12,*,6
서울,동대문구,기초,남자,70-74세,111,*,*,18,29,17,0,9,6,8
서울,동대문구,기초,남자,75-79세,86,*,6,10,24,*,*,*,7,*
서울,동대문구,기초,남자,80-84세,83,*,*,11,32,11,0,*,5,*
서울,동대문구,기초,남자,85세이상,47,*,6,*,21,6,*,*,0,0
서울,동대문구,기초,여자,65세미만,38,*,6,*,7,*,*,*,*,*
서울,동대문구,기초,여자,65-69세,81,*,9,13,16,5,*,5,*,*
서울,동대문구,기초,여자,70-74세,108,*,5,16,34,*,*,13,8,*
서울,동대문구,기초,여자,75-79세,178,7,6,29,64,14,6,10,9,*
서울,동대문구,기초,여자,80-84세,243,6,15,39,116,21,5,13,*,5
서울,동대문구,기초,여자,85세이상,275,18,21,52,120,27,*,10,8,*
서울,동대문구,의료,남자,70-74세,0,0,0,0,0,0,0,0,0,0
서울,동대문구,의료,남자,75-79세,*,0,0,0,0,0,0,0,*,0
서울,동대문구,의료,남자,80-84세,0,0,0,0,0,0,0,0,0,0
서울,동대문구,의료,남자,85세이상,*,0,0,*,0,0,0,0,0,0
서울,동대문구,의료,여자,65세미만,*,0,0,0,0,0,0,*,0,0
서울,동대문구,의료,여자,65-69세,0,0,0,0,0,0,0,0,0,0
서울,동대문구,의료,여자,70-74세,*,0,0,*,*,0,0,0,0,0
서울,동대문구,의료,여자,75-79세,5,0,0,0,*,0,0,*,0,0
서울,동대문구,의료,여자,80-84세,*,0,0,0,0,0,0,*,0,0
서울,동대문구,의료,여자,85세이상,18,*,0,5,9,*,0,*,0,0
서울,동대문구,감경,남자,65세미만,38,*,*,11,11,*,*,*,0,0
서울,동대문구,감경,남자,65-69세,75,11,*,19,22,9,*,*,0,0
서울,동대문구,감경,남자,70-74세,91,7,8,23,41,6,*,*,0,0
서울,동대문구,감경,남자,75-79세,93,7,9,25,34,10,*,*,*,0
서울,동대문구,감경,남자,80-84세,144,7,16,27,59,24,5,*,*,0
서울,동대문구,감경,남자,85세이상,164,*,12,39,76,22,9,0,*,0
서울,동대문구,감경,여자,65세미만,30,6,*,12,*,6,0,*,0,0
서울,동대문구,감경,여자,65-69세,63,13,5,16,17,*,*,*,0,*
서울,동대문구,감경,여자,70-74세,117,12,9,23,32,19,9,*,0,0
서울,동대문구,감경,여자,75-79세,230,13,13,47,106,23,*,6,*,*
서울,동대문구,감경,여자,80-84세,415,31,19,90,205,37,9,*,5,0
서울,동대문구,감경,여자,85세이상,617,31,55,213,245,53,*,*,*,0
서울,중랑구,일반,남자,65세미만,76,*,*,12,7,*,0,17,*,9
서울,중랑구,일반,남자,65-69세,183,10,12,35,36,5,*,21,9,8
서울,중랑구,일반,남자,70-74세,245,15,16,55,48,11,*,23,12,6
서울,중랑구,일반,남자,75-79세,293,7,15,70,85,22,*,27,8,*
서울,중랑구,일반,남자,80-84세,464,20,27,105,140,37,8,33,16,6
서울,중랑구,일반,남자,85세이상,472,17,34,115,160,34,*,19,6,5
서울,중랑구,일반,여자,65세미만,78,8,7,11,7,*,0,13,*,*
서울,중랑구,일반,여자,65-69세,186,10,11,32,29,*,*,19,11,11
서울,중랑구,일반,여자,70-74세,294,7,12,41,75,13,8,31,10,7
서울,중랑구,일반,여자,75-79세,652,28,28,103,201,44,18,47,32,9
서울,중랑구,일반,여자,80-84세,1004,49,64,180,348,82,18,45,32,15
서울,중랑구,일반,여자,85세이상,1055,56,124,297,369,53,8,33,9,*
서울,중랑구,기초,남자,65세미만,151,7,10,24,49,7,*,20,11,7
서울,중랑구,기초,남자,65-69세,204,7,5,35,70,15,*,16,8,14
서울,중랑구,기초,남자,70-74세,162,*,8,25,67,9,0,17,8,8
서울,중랑구,기초,남자,75-79세,136,*,6,32,50,7,*,12,*,5
서울,중랑구,기초,남자,80-84세,91,*,7,15,38,7,*,*,*,*
서울,중랑구,기초,남자,85세이상,66,*,*,13,34,*,*,5,*,0
서울,중랑구,기초,여자,65세미만,70,8,8,14,16,*,*,8,*,*
서울,중랑구,기초,여자,65-69세,166,10,6,34,43,6,*,27,5,6
서울,중랑구,기초,여자,70-74세,152,6,8,40,47,5,*,12,5,*
서울,중랑구,기초,여자,75-79세,273,6,17,59,105,16,*,13,8,*
서울,중랑구,기초,여자,80-84세,341,19,34,75,134,21,*,13,6,7
서울,중랑구,기초,여자,85세이상,481,43,88,137,157,16,5,9,*,*
서울,중랑구,의료,남자,65-69세,*,0,0,*,0,0,0,0,0,0
서울,중랑구,의료,남자,70-74세,5,*,0,*,0,0,0,*,0,*
서울,중랑구,의료,남자,75-79세,*,0,0,*,0,0,*,0,0,0
