지역키,sido_name,sigungu_name,region_code,demand_value,current_resource,total_population,elderly_population,elderly_single_households,aging_rate,elderly_single_household_index,service,resource_type,demand_scenario,current_supply_rate,target_scenario,target_supply_rate,target_resource,continuous_gap,integer_need,provider_missing,eligible_for_allocation,allocation_cap,vulnerability_score
강원특별자치도|고성군,강원특별자치도,고성군,51820,838.0,5.0,27204,9753,3771,35.85134539038376,38.66502614580129,visit_care,institution,ltci_midpoint,5.966587112171838,county_median,11.909217437998507,9.979924213042748,4.979924213042748,5,False,True,2,-0.037940051567619426
강원특별자치도|양양군,강원특별자치도,양양군,51830,1012.0,8.0,27326,10299,3708,37.68938007758179,36.003495484998545,visit_care,institution,ltci_midpoint,7.905138339920948,county_median,11.909217437998507,12.05212804725449,4.05212804725449,5,False,True,2,-0.31205333562650783
전북특별자치도|완주군,전북특별자치도,완주군,52710,3941.0,42.0,100102,27560,9016,27.53191744420691,32.71407837445574,visit_care,institution,ltci_midpoint,10.657193605683837,county_median,11.909217437998507,46.93422592315212,4.93422592315212,5,False,True,2,-1.6196120670779623
전북특별자치도|진안군,전북특별자치도,진안군,52720,1338.5,15.0,24689,10514,4020,42.58576694074284,38.23473463952825,visit_care,institution,ltci_midpoint,11.206574523720583,county_median,11.909217437998507,15.940487540761001,0.9404875407610014,1,False,True,2,0.4194922576761587
전북특별자치도|무주군,전북특별자치도,무주군,52730,1095.0,19.0,23326,9356,3691,40.10974877818743,39.45061992304403,visit_care,institution,ltci_midpoint,17.35159817351598,county_median,11.909217437998507,13.040593094608365,0.0,0,False,False,2,0.41717416146864095
전북특별자치도|장수군,전북특별자치도,장수군,52740,835.0,11.0,21169,8755,3301,41.35764561386934,37.70416904625928,visit_care,institution,ltci_midpoint,13.173652694610778,county_median,11.909217437998507,9.944196560728752,0.0,0,False,False,2,0.24056456205045668
전북특별자치도|임실군,전북특별자치도,임실군,52750,1597.0,21.0,25342,11198,4625,44.18751479756926,41.302018217538844,visit_care,institution,ltci_midpoint,13.149655604257983,county_median,11.909217437998507,19.019020248483617,0.0,0,False,False,2,1.025346755910398
전북특별자치도|순창군,전북특별자치도,순창군,52770,1451.0,19.0,27584,10831,4119,39.2655162412993,38.02972948019573,visit_care,institution,ltci_midpoint,13.094417643004823,county_median,11.909217437998507,17.280274502535836,0.0,0,False,False,2,0.12854886982421446
전북특별자치도|고창군,전북특별자치도,고창군,52790,3457.5,34.0,50071,20870,8300,41.68081324519183,39.77000479156684,visit_care,institution,ltci_midpoint,9.833694866232827,county_median,11.909217437998507,41.17611929187984,7.176119291879843,8,False,True,2,0.5897152546906386
전북특별자치도|부안군,전북특별자치도,부안군,52800,2577.5,35.0,46946,19234,8057,40.97047671793124,41.88936258708537,visit_care,institution,ltci_midpoint,13.579049466537343,county_median,11.909217437998507,30.69600794644115,0.0,0,False,False,2,0.8667034033701545
