장기요양기관코드,장기요양기관이름,우편번호,시도코드,시군구코드,법정동코드,시도 시군구 법정동명,지정일자,설치신고일자
11130500395,수호천사요양원,01041,11,305,103,서울특별시 강북구 수유동,2022-12-16,2022-11-24
11130500403,민영재활요양원,01138,11,305,102,서울특별시 강북구 번동,2023-08-21,2023-09-01
11130500410,햇살요양원 1호점,01055,11,305,103,서울특별시 강북구 수유동,2024-01-01,2024-01-01
11130500411,햇살요양원 2호점,01055,11,305,103,서울특별시 강북구 수유동,2024-01-01,2024-01-01
11130500415,현인요양원,01019,11,305,103,서울특별시 강북구 수유동,2024-04-01,2024-04-01
11132000003,도봉실버센터,01316,11,320,106,서울특별시 도봉구 방학동,2008-06-09,2008-06-04
11132000113,(주)도봉늘푸른요양원,01390,11,320,106,서울특별시 도봉구 방학동,2010-01-13,2010-01-01
11132000152,성호요양원,01304,11,320,108,서울특별시 도봉구 도봉동,2010-05-10,2010-05-10
11132000156,행복드림요양원,01328,11,320,108,서울특별시 도봉구 도봉동,2010-05-24,2010-05-24
11132000216,동그라미요양센터1호점,01395,11,320,105,서울특별시 도봉구 쌍문동,2013-01-23,2013-01-23
11132000240,동그라미요양센터2호점,01395,11,320,105,서울특별시 도봉구 쌍문동,2013-06-01,2013-06-01
11132000257,희망요양원,01469,11,320,107,서울특별시 도봉구 창동,2013-06-11,2013-06-11
11132000274,수노인요양공동생활가정1호점,01342,11,320,106,서울특별시 도봉구 방학동,2013-10-28,2013-10-28
11132000275,수노인요양공동생활가정2호점,01342,11,320,106,서울특별시 도봉구 방학동,2013-10-28,2013-10-28
11132000281,참빛요양센터,01391,11,320,105,서울특별시 도봉구 쌍문동,2014-01-01,2014-01-01
11132000286,가원노인요양공동생활가정1호점,01384,11,320,106,서울특별시 도봉구 방학동,2014-01-17,2014-01-17
11132000289,가원노인요양공동생활가정2호점,01384,11,320,106,서울특별시 도봉구 방학동,2014-02-21,2014-02-21
11132000295,도봉효드림요양원,01411,11,320,107,서울특별시 도봉구 창동,2014-04-01,2014-04-01
11132000319,도봉요양원,01395,11,320,105,서울특별시 도봉구 쌍문동,2014-12-04,2014-12-04
11132000322,사랑채요양종합복지센터,01394,11,320,105,서울특별시 도봉구 쌍문동,2014-12-05,2014-12-05
11132000330,love사랑맞이요양원,01332,11,320,106,서울특별시 도봉구 방학동,2015-04-20,2015-04-20
11132000333,사랑재활요양원,01464,11,320,107,서울특별시 도봉구 창동,2015-05-01,2015-05-01
11132000337,A+도봉재활요양원,01332,11,320,106,서울특별시 도봉구 방학동,2015-05-21,2015-05-21
11132000339,다사랑요양원,01301,11,320,108,서울특별시 도봉구 도봉동,2015-09-21,2015-09-21
11132000340,사랑재활요양원2호점,01464,11,320,107,서울특별시 도봉구 창동,2015-10-01,2015-10-01
11132000343,사랑방요양원,01350,11,320,106,서울특별시 도봉구 방학동,2015-12-01,2015-12-01
11132000345,꿈에그린요양원1,01345,11,320,106,서울특별시 도봉구 방학동,2015-12-29,2015-12-22
11132000346,도봉은빛요양원,01345,11,320,106,서울특별시 도봉구 방학동,2015-12-29,2015-12-29
11132000352,그린요양원,01390,11,320,106,서울특별시 도봉구 방학동,2016-04-01,2016-04-01
11132000370,쌍문늘푸른요양원,01387,11,320,105,서울특별시 도봉구 쌍문동,2016-09-20,2016-09-20
11132000380,도봉하루요양원2호점,01395,11,320,105,서울특별시 도봉구 쌍문동,2016-12-01,2016-12-01
11132000395,강북재활요양원,01346,11,320,106,서울특별시 도봉구 방학동,2017-05-01,2017-05-01
11132000396,강북재활요양원 2호점,01346,11,320,106,서울특별시 도봉구 방학동,2017-05-01,2017-05-01
11132000401,큰사랑요양원,01320,11,320,108,서울특별시 도봉구 도봉동,2017-06-05,2017-06-05
11132000402,청춘요양원,01320,11,320,108,서울특별시 도봉구 도봉동,2017-06-05,2017-06-05
11132000403,행복요양원,01320,11,320,108,서울특별시 도봉구 도봉동,2017-06-05,2017-06-05
11132000404,미소사랑요양원,01320,11,320,108,서울특별시 도봉구 도봉동,2017-06-05,2017-06-05
11132000405,효심요양원,01320,11,320,108,서울특별시 도봉구 도봉동,2017-06-05,2017-06-05
11132000406,은나무요양원,01320,11,320,108,서울특별시 도봉구 도봉동,2017-06-07,2017-06-07
11132000412,도봉하루요양원3호점,01395,11,320,105,서울특별시 도봉구 쌍문동,2017-09-01,2017-09-01
11132000413,강북실버요양원,01346,11,320,106,서울특별시 도봉구 방학동,2017-09-01,2017-09-01
11132000415,강북실버요양원2호점,01346,11,320,106,서울특별시 도봉구 방학동,2017-09-01,2017-09-01
11132000416,큰사랑노인요양원,01332,11,320,106,서울특별시 도봉구 방학동,2017-09-06,2017-09-06
11132000418,강북요양원,01346,11,320,106,서울특별시 도봉구 방학동,2017-09-21,2017-09-21
11132000419,강북요양원2호점,01346,11,320,106,서울특별시 도봉구 방학동,2017-09-21,2017-09-21
11132000426,사랑재활요양원3호점,01464,11,320,107,서울특별시 도봉구 창동,2018-01-03,2018-01-03
11132000451,실버빌요양원,01428,11,320,107,서울특별시 도봉구 창동,2019-03-01,2019-03-01
11132000454,참존vip요양원,01401,11,320,107,서울특별시 도봉구 창동,2019-04-18,2019-04-18
11132000463,기쁨과나눔노인요양원,01391,11,320,105,서울특별시 도봉구 쌍문동,2019-08-01,2019-08-01
11132000464,기쁨과나눔노인요양원2호점,01391,11,320,105,서울특별시 도봉구 쌍문동,2019-08-01,2019-08-01
11132000482,굿모닝요양원,01310,11,320,108,서울특별시 도봉구 도봉동,2019-12-30,2019-12-30
11132000483,굿모닝요양원2호점,01310,11,320,108,서울특별시 도봉구 도봉동,2019-12-30,2019-12-30
11132000489,하루정요양센터,01432,11,320,105,서울특별시 도봉구 쌍문동,2020-07-06,2020-07-06
11132000496,TOP동그라미요양원,01332,11,320,106,서울특별시 도봉구 방학동,2020-11-01,2020-11-01
11132000517,참존요양원,01401,11,320,107,서울특별시 도봉구 창동,2021-07-31,2021-07-31
11132000531,A플러스노아재활요양원,01332,11,320,106,서울특별시 도봉구 방학동,2022-06-01,2022-06-01
11132000537,실버케어너싱홈,01307,11,320,108,서울특별시 도봉구 도봉동,2022-10-01,2022-10-01
11132000553,선한노인전문요양원,01475,11,320,107,서울특별시 도봉구 창동,2023-06-30,2023-06-30
11135000011,시립중계노인전문요양원,01771,11,350,106,서울특별시 노원구 중계동,2008-05-29,2008-05-29
11135000016,구립하계실버센터,01862,11,350,104,서울특별시 노원구 하계동,2008-06-04,2007-11-05
11135000020,영기노인요양원,01623,11,350,105,서울특별시 노원구 상계동,2008-06-10,2005-03-03
11135000175,노원실버센터,01852,11,350,103,서울특별시 노원구 공릉동,2010-06-01,2010-06-01
11135000188,늘사랑실버센터,01666,11,350,105,서울특별시 노원구 상계동,2010-07-26,2010-07-26
11135000223,서울실버케어노인요양원,01666,11,350,105,서울특별시 노원구 상계동,2011-09-01,2011-09-01
11135000227,노원사랑요양원4,01849,11,350,103,서울특별시 노원구 공릉동,2011-09-23,2011-09-23
11135000268,노원요양복지원,01684,11,350,105,서울특별시 노원구 상계동,2013-06-11,2013-06-10
11135000273,길요양원,01701,11,350,106,서울특별시 노원구 중계동,2013-10-07,2013-10-04
11135000292,수요양원,01611,11,350,105,서울특별시 노원구 상계동,2014-04-01,2014-03-26
11135000355,A+행복한그린요양원,01629,11,350,105,서울특별시 노원구 상계동,2015-11-04,2015-11-04
11135000372,가온요양원,01691,11,350,105,서울특별시 노원구 상계동,2016-06-17,2016-06-17
11135000400,상계요양원,01627,11,350,105,서울특별시 노원구 상계동,2017-06-13,2017-06-13
11135000407,효누리요양원,01668,11,350,105,서울특별시 노원구 상계동,2017-08-01,2017-08-01
11135000425,러빙케어,01693,11,350,105,서울특별시 노원구 상계동,2018-01-01,2018-01-01
11135000441,노원행복한요양원,01679,11,350,105,서울특별시 노원구 상계동,2018-07-01,2018-07-01
11135000460,성모요양원,01691,11,350,105,서울특별시 노원구 상계동,2019-03-01,2019-03-01
11135000465,늘봄요양원,01679,11,350,105,서울특별시 노원구 상계동,2019-05-01,2019-05-01
11135000487,가족마음요양원,01679,11,350,105,서울특별시 노원구 상계동,2019-11-15,2019-11-15
11135000601,사랑과섬김요양원,01668,11,350,105,서울특별시 노원구 상계동,2023-04-01,2023-04-01
11135000602,돌봄간호요양원2,01674,11,350,105,서울특별시 노원구 상계동,2023-04-01,2023-04-01
11135000603,돌봄간호요양원1,01674,11,350,105,서울특별시 노원구 상계동,2023-04-01,2023-04-01
11135000605,노블레스요양원,01691,11,350,105,서울특별시 노원구 상계동,2023-05-01,2023-05-01
11135000608,늘품실버요양원,01679,11,350,105,서울특별시 노원구 상계동,2023-09-01,2023-09-01
11138000003,자유의 집,03417,11,380,108,서울특별시 은평구 역촌동,2008-05-13,2007-01-23
11138000006,정원치매노인요양센터,10954,41,480,350,경기도 파주시 광탄면,2008-05-26,1999-04-20
11138000008,정원노인요양원,10954,41,480,350,경기도 파주시 광탄면,2008-05-27,1989-04-18
11138000031,시온노인요양원,03329,11,380,104,서울특별시 은평구 갈현동,2008-08-28,2008-08-25
11138000065,붓다마을,03308,11,380,114,서울특별시 은평구 진관동,2009-07-03,2009-07-03
11138000090,해피안,03411,11,380,105,서울특별시 은평구 구산동,2009-09-18,2009-09-16
11138000093,녹번실버,03382,11,380,102,서울특별시 은평구 녹번동,2009-10-08,2009-10-08
11138000128,엘림요양원,03459,11,380,102,서울특별시 은평구 녹번동,2010-03-01,2010-03-01
11138000195,써니요양원,03448,11,380,109,서울특별시 은평구 신사동,2012-10-22,2012-10-22
11138000216,마추미실버케어 응암점,03485,11,380,107,서울특별시 은평구 응암동,2013-10-04,2013-10-04
11138000217,노블케어스,03458,11,380,102,서울특별시 은평구 녹번동,2013-11-08,2013-11-08
11138000224,노블타운 요양원,03459,11,380,102,서울특별시 은평구 녹번동,2014-04-07,2014-04-07
11138000243,은평요양원,03408,11,380,108,서울특별시 은평구 역촌동,2015-04-21,2015-04-21
11138000257,(협)노인돌봄은평요양원,03452,11,380,109,서울특별시 은평구 신사동,2015-07-31,2015-07-31
11138000258,수색실버케어,03489,11,380,101,서울특별시 은평구 수색동,2015-08-17,2015-08-17
