법정동_시군구코드,기준연월,시도명,시군구명,65세이상1인세대,65세이상남자1인세대,65세이상여자1인세대
26410,2026-06-30,부산광역시,금정구,18171,5802,12369
26440,2026-06-30,부산광역시,강서구,6722,2912,3810
26470,2026-06-30,부산광역시,연제구,14970,4652,10318
26500,2026-06-30,부산광역시,수영구,13344,3935,9409
26530,2026-06-30,부산광역시,사상구,16883,6065,10818
26710,2026-06-30,부산광역시,기장군,12149,4202,7947
27110,2026-06-30,대구광역시,중구,6092,1946,4146
27140,2026-06-30,대구광역시,동구,27726,8781,18945
27170,2026-06-30,대구광역시,서구,17364,5607,11757
27200,2026-06-30,대구광역시,남구,14740,4610,10130
27230,2026-06-30,대구광역시,북구,25851,7832,18019
27260,2026-06-30,대구광역시,수성구,22833,6316,16517
27290,2026-06-30,대구광역시,달서구,33044,10129,22915
27710,2026-06-30,대구광역시,달성군,14058,4824,9234
27720,2026-06-30,대구광역시,군위군,4152,1808,2344
28110,2026-06-30,인천광역시,중구,9821,4180,5641
28140,2026-06-30,인천광역시,동구,5377,1880,3497
28177,2026-06-30,인천광역시,미추홀구,28578,10335,18243
28185,2026-06-30,인천광역시,연수구,13029,4326,8703
28200,2026-06-30,인천광역시,남동구,30785,10629,20156
28237,2026-06-30,인천광역시,부평구,28881,9798,19083
28245,2026-06-30,인천광역시,계양구,16883,5948,10935
28260,2026-06-30,인천광역시,서구,25967,9748,16219
28710,2026-06-30,인천광역시,강화군,8842,3573,5269
28720,2026-06-30,인천광역시,옹진군,2899,1333,1566
29110,2026-06-30,광주광역시,동구,8933,3071,5862
29140,2026-06-30,광주광역시,서구,16451,5118,11333
29155,2026-06-30,광주광역시,남구,14649,4474,10175
29170,2026-06-30,광주광역시,북구,28428,9459,18969
29200,2026-06-30,광주광역시,광산구,16333,5588,10745
30110,2026-06-30,대전광역시,동구,18452,6768,11684
30140,2026-06-30,대전광역시,중구,17851,6341,11510
30170,2026-06-30,대전광역시,서구,22143,7013,15130
30200,2026-06-30,대전광역시,유성구,12426,4296,8130
30230,2026-06-30,대전광역시,대덕구,12162,4261,7901
31110,2026-06-30,울산광역시,중구,13840,4831,9009
31140,2026-06-30,울산광역시,남구,15536,5382,10154
31170,2026-06-30,울산광역시,동구,7615,2675,4940
31200,2026-06-30,울산광역시,북구,7137,2527,4610
31710,2026-06-30,울산광역시,울주군,15126,6201,8925
36110,2026-06-30,세종특별자치시,,12263,4491,7772
41111,2026-06-30,경기도,수원시 장안구,14304,4900,9404
41113,2026-06-30,경기도,수원시 권선구,15708,5602,10106
41115,2026-06-30,경기도,수원시 팔달구,11390,4243,7147
41117,2026-06-30,경기도,수원시 영통구,8493,2510,5983
41131,2026-06-30,경기도,성남시 수정구,16169,6249,9920
41133,2026-06-30,경기도,성남시 중원구,13183,5063,8120
41135,2026-06-30,경기도,성남시 분당구,15288,4308,10980
41150,2026-06-30,경기도,의정부시,28208,9709,18499
41171,2026-06-30,경기도,안양시 만안구,13341,4853,8488
41173,2026-06-30,경기도,안양시 동안구,11009,3117,7892
41192,2026-06-30,경기도,부천시 원미구,19355,6815,12540
41194,2026-06-30,경기도,부천시 소사구,13105,4409,8696
41196,2026-06-30,경기도,부천시 오정구,9969,3730,6239
41210,2026-06-30,경기도,광명시,13017,3933,9084
41220,2026-06-30,경기도,평택시,28221,10802,17419
41250,2026-06-30,경기도,동두천시,8895,3365,5530
41271,2026-06-30,경기도,안산시 상록구,17358,6574,10784
41273,2026-06-30,경기도,안산시 단원구,14264,5584,8680
41281,2026-06-30,경기도,고양시 덕양구,26436,9292,17144
41285,2026-06-30,경기도,고양시 일산동구,13142,4477,8665
41287,2026-06-30,경기도,고양시 일산서구,11729,3475,8254
41290,2026-06-30,경기도,과천시,2189,637,1552
41310,2026-06-30,경기도,구리시,9574,3540,6034
41360,2026-06-30,경기도,남양주시,36643,13198,23445
41370,2026-06-30,경기도,오산시,9517,3507,6010
