장기요양기관코드,기관유형코드,기관유형명,정원,현원
11130500170,A04,노인요양공동생활가정,7,7
11130500171,A04,노인요양공동생활가정,9,8
11130500172,A03,노인요양시설(개정법),100,92
11130500172,G31,치매전담실가형1실,12,12
11130500176,A04,노인요양공동생활가정,9,9
11130500177,A04,노인요양공동생활가정,9,8
11130500179,A04,노인요양공동생활가정,9
11130500180,A04,노인요양공동생활가정,9,9
11130500181,A04,노인요양공동생활가정,9,9
11130500183,A04,노인요양공동생활가정,9,9
11130500184,A04,노인요양공동생활가정,9,9
11130500185,A04,노인요양공동생활가정,9,8
11130500192,A04,노인요양공동생활가정,9,8
11130500199,A04,노인요양공동생활가정,9,9
11130500218,A04,노인요양공동생활가정,9,9
11130500219,A04,노인요양공동생활가정,9,9
11130500220,A04,노인요양공동생활가정,9,9
11130500228,A04,노인요양공동생활가정,9,9
11130500229,A04,노인요양공동생활가정,9,9
11130500231,A04,노인요양공동생활가정,9,8
11130500234,A03,노인요양시설(개정법),181,174
11130500239,A04,노인요양공동생활가정,,9
11130500243,A04,노인요양공동생활가정,7,7
11130500246,A03,노인요양시설(개정법),20,19
11130500248,A04,노인요양공동생활가정,9,9
11130500250,A04,노인요양공동생활가정,9,7
11130500255,A04,노인요양공동생활가정,,9
11130500268,A04,노인요양공동생활가정,9,9
11130500273,A04,노인요양공동생활가정,9,8
11130500276,A04,노인요양공동생활가정,9,8
11130500280,A03,노인요양시설(개정법),29,21
11130500281,A04,노인요양공동생활가정,9,9
11130500290,A03,노인요양시설(개정법),71,70
11130500295,A04,노인요양공동생활가정,7,7
11130500296,A04,노인요양공동생활가정,9,9
11130500300,A04,노인요양공동생활가정,9,8
11130500301,A04,노인요양공동생활가정,9,8
11130500302,A04,노인요양공동생활가정,9,9
11130500303,A04,노인요양공동생활가정,9,9
11130500307,A04,노인요양공동생활가정,9,9
11130500309,A04,노인요양공동생활가정,9,8
11130500329,A04,노인요양공동생활가정,7,6
11130500341,A04,노인요양공동생활가정,9,9
11130500352,A04,노인요양공동생활가정,9,9
11130500357,A04,노인요양공동생활가정,9,8
11130500358,A04,노인요양공동생활가정,9,9
11130500391,A03,노인요양시설(개정법),29,29
11130500395,A04,노인요양공동생활가정,9,5
11130500403,A03,노인요양시설(개정법),22,7
11132000002,A04,노인요양공동생활가정,9,0
11132000003,A02,노인전문요양시설,119,119
11132000003,A03,노인요양시설(개정법),119,115
11132000012,A04,노인요양공동생활가정,9
11132000066,A04,노인요양공동생활가정,9,9
11132000075,A04,노인요양공동생활가정,9,7
11132000077,A04,노인요양공동생활가정,6,6
11132000078,A04,노인요양공동생활가정,6,4
11132000082,A04,노인요양공동생활가정,9,9
11132000087,A04,노인요양공동생활가정,9,2
11132000090,A04,노인요양공동생활가정,9,9
11132000097,A04,노인요양공동생활가정,9,5
11132000098,A04,노인요양공동생활가정,9,9
11132000101,A04,노인요양공동생활가정,9,5
11132000102,A04,노인요양공동생활가정,9,0
11132000111,A04,노인요양공동생활가정,9,9
11132000113,A04,노인요양공동생활가정,9,9
11132000117,A04,노인요양공동생활가정,9,8
11132000120,A04,노인요양공동생활가정,9,9
11132000125,A04,노인요양공동생활가정,,7
11132000128,A05,노인요양시설(단기보호 전환),30,29
11132000129,A05,노인요양시설(단기보호 전환),19,17
11132000129,A04,노인요양공동생활가정,9,9
11132000130,A04,노인요양공동생활가정,9,9
11132000130,A05,노인요양시설(단기보호 전환),16,15
11132000131,A04,노인요양공동생활가정,9,9
11132000131,A05,노인요양시설(단기보호 전환),25,22
11132000132,A05,노인요양시설(단기보호 전환),31,29
11132000133,A05,노인요양시설(단기보호 전환),13,25
11132000133,A04,노인요양공동생활가정,9,9
11132000134,A05,노인요양시설(단기보호 전환),21,32
11132000135,A05,노인요양시설(단기보호 전환),30,27
11132000135,A04,노인요양공동생활가정,,9
11132000136,A05,노인요양시설(단기보호 전환),16,16
11132000137,A04,노인요양공동생활가정,9,9
11132000137,A05,노인요양시설(단기보호 전환),20,15
11132000138,A05,노인요양시설(단기보호 전환),9,7
11132000138,A04,노인요양공동생활가정,7,7
11132000139,A05,노인요양시설(단기보호 전환),38,37
11132000139,A04,노인요양공동생활가정,9,0
11132000140,A05,노인요양시설(단기보호 전환),25,25
11132000141,A05,노인요양시설(단기보호 전환),22,10
11132000141,A04,노인요양공동생활가정,9,0
11132000142,A05,노인요양시설(단기보호 전환),22,19
11132000143,A04,노인요양공동생활가정,6,0
11132000143,A05,노인요양시설(단기보호 전환),9,6
11132000148,A04,노인요양공동생활가정,9,8
11132000152,A04,노인요양공동생활가정,6,4
11132000153,A04,노인요양공동생활가정,9,9
11132000156,A03,노인요양시설(개정법),25,24
11132000156,A04,노인요양공동생활가정,9,8
11132000159,A04,노인요양공동생활가정,9,0
11132000161,A04,노인요양공동생활가정,9,9
11132000163,A04,노인요양공동생활가정,9,0
11132000165,A04,노인요양공동생활가정,9,8
11132000166,A04,노인요양공동생활가정,9,8
11132000175,A04,노인요양공동생활가정,9,9
11132000177,A04,노인요양공동생활가정,9,9
11132000180,A03,노인요양시설(개정법),28,24
11132000193,A04,노인요양공동생활가정,9,8
11132000195,A04,노인요양공동생활가정,9,0
11132000198,A03,노인요양시설(개정법),41,41
11132000203,A05,노인요양시설(단기보호 전환),22,27
11132000204,A04,노인요양공동생활가정,9,9
11132000205,A04,노인요양공동생활가정,9,9
11132000206,A04,노인요양공동생활가정,9,9
11132000206,A05,노인요양시설(단기보호 전환),30,27
11132000207,A05,노인요양시설(단기보호 전환),16,0
11132000212,A04,노인요양공동생활가정,9,0
11132000216,A04,노인요양공동생활가정,9,9
11132000216,A05,노인요양시설(단기보호 전환),16,15
11132000219,A04,노인요양공동생활가정,9,8
11132000223,A04,노인요양공동생활가정,,9
11132000224,A04,노인요양공동생활가정,,9
11132000230,A04,노인요양공동생활가정,9,9
11132000236,A03,노인요양시설(개정법),29,22
11132000238,A03,노인요양시설(개정법),21,19
11132000240,A04,노인요양공동생활가정,9,9
11132000241,A04,노인요양공동생활가정,,9
11132000243,A04,노인요양공동생활가정,9,8
11132000249,A04,노인요양공동생활가정,9,9
11132000250,A04,노인요양공동생활가정,9,8
11132000253,A04,노인요양공동생활가정,9,9
11132000254,A04,노인요양공동생활가정,9,9
11132000257,A03,노인요양시설(개정법),63,61
11132000260,A04,노인요양공동생활가정,9,8
