longTermAdminSym_request,adminPttnCd_request,siDoCd_request,siGunGuCd_request,adminNm_request,resultCode,resultMsg,adminPttnCd,fmNowPer,fmRsvPer,longTermAdminSym,maNowPer,maRsvPer,totPer
22611000111,B02,26,110,신창통합재가복지센터,00,NORMAL SERVICE.,B02,2,,22611000111,1,,0
22611000001,B03,26,110,중구재가노인지원서비스센터,00,NORMAL SERVICE.,B03,14,0,22611000001,3,0,18
22611000103,B03,26,110,굿모닝주야간보호센터,00,NORMAL SERVICE.,B03,25,0,22611000103,17,0,44
22611000105,B03,26,110,선한데이케어센터,00,NORMAL SERVICE.,B03,31,,22611000105,12,,60
22611000117,B03,26,110,행복한재활주간보호센터,00,NORMAL SERVICE.,B03,,,22611000117,,,59
22614000050,B03,26,140,인창서구재가노인복지센터,00,NORMAL SERVICE.,B03,73,,22614000050,25,,116
22614000084,B03,26,140,송도노인주간보호센터,00,NORMAL SERVICE.,B03,28,0,22614000084,17,0,57
22614000093,B03,26,140,서구케어재가노인주간보호센터,00,NORMAL SERVICE.,B03,51,0,22614000093,18,0,93
22653000194,B04,26,530,부산광역시노인건강센터 단기보호,00,NORMAL SERVICE.,B04,6,,22653000194,1,,9
22611000111,B05,26,110,신창통합재가복지센터,00,NORMAL SERVICE.,B05,,,22611000111,,,0
22614000098,B05,26,140,더드림재가복지센터,00,NORMAL SERVICE.,B05,,,22614000098,,,0
22623000395,B05,26,230,푸른누리재가복지센터,00,NORMAL SERVICE.,B05,31,,22623000395,17,,0
22623000405,B05,26,230,편안한실버케어재가센터,00,NORMAL SERVICE.,B05,59,,22623000405,30,,0
22623000417,B05,26,230,정샘간호재가센터,00,NORMAL SERVICE.,B05,3,,22623000417,2,,0
22623000482,B05,26,230,부산에스엠방문요양간호센터,00,NORMAL SERVICE.,B05,,,22623000482,,,0
22626000324,B05,26,260,간호돌봄재가복지센터,00,NORMAL SERVICE.,B05,15,1,22626000324,9,1,0
22611000108,B06,26,110,신기의료기 중구점,00,NORMAL SERVICE.,B06,,,22611000108,,,0
22611000112,B06,26,110,로뎀복지용구,00,NORMAL SERVICE.,B06,,,22611000112,,,0
22611000118,B06,26,110,건강의료기,00,NORMAL SERVICE.,B06,,,22611000118,,,100
22617000196,B06,26,170,건강한의료기,00,NORMAL SERVICE.,B06,,,22617000196,,,0
22617000209,B06,26,170,민영복지용구,00,NORMAL SERVICE.,B06,,,22617000209,,,0
22617000214,B06,26,170,희망복지노인재가센터,00,NORMAL SERVICE.,B06,,,22617000214,,,0
32611000008,C01,26,110,로뎀나무아래요양보호사파견센터,00,NORMAL SERVICE.,C01,,,32611000008,,,
32611000029,C01,26,110,효자효녀노인복지센터,00,NORMAL SERVICE.,C01,,,32611000029,,,
32611000030,C01,26,110,예손은노인복지요양센터,00,NORMAL SERVICE.,C01,,,32611000030,,,
32611000040,C01,26,110,행복나눔재가복지센터,00,NORMAL SERVICE.,C01,,,32611000040,,,
