year,province,sigungu,kosis_region_code,service_type,benefit_users,provider_count_used,service_days,benefit_cost_thousand_krw,nhis_payment_thousand_krw
2013,강원,정선군,15350AC400I112,복지용구,63.0,33.0,0.0,34350.0,31084.0
2013,강원,정선군,15350AC400I112,주야간보호,2.0,2.0,274.0,9580.0,8621.0
2013,강원,철원군,15350AC400I113,계,512.0,204.0,113897.0,4564838.0,4086742.0
2013,강원,철원군,15350AC400I113,노인요양공동생활가정,68.0,18.0,12603.0,561971.0,500325.0
2013,강원,철원군,15350AC400I113,노인요양시설,178.0,55.0,41883.0,1953562.0,1751777.0
2013,강원,철원군,15350AC400I113,노인요양시설(구법),5.0,5.0,515.0,18027.0,15681.0
2013,강원,철원군,15350AC400I113,노인요양시설(단기보호전환),15.0,7.0,1417.0,55760.0,47403.0
2013,강원,철원군,15350AC400I113,노인전문요양시설(구법),68.0,4.0,2779.0,126420.0,115965.0
2013,강원,철원군,15350AC400I113,단기보호,4.0,4.0,260.0,10126.0,8714.0
2013,강원,철원군,15350AC400I113,방문간호,4.0,4.0,47.0,2543.0,2162.0
2013,강원,철원군,15350AC400I113,방문목욕,81.0,21.0,2138.0,95498.0,85690.0
2013,강원,철원군,15350AC400I113,방문요양,285.0,61.0,48599.0,1520480.0,1364745.0
2013,강원,철원군,15350AC400I113,복지용구,157.0,55.0,0.0,90180.0,80785.0
2013,강원,철원군,15350AC400I113,주야간보호,30.0,6.0,3656.0,130272.0,113496.0
2013,강원,춘천시,15350AC400I101,계,3226.0,526.0,713141.0,29274868.0,26000598.0
2013,강원,춘천시,15350AC400I101,노인요양공동생활가정,317.0,69.0,64889.0,2895606.0,2542092.0
2013,강원,춘천시,15350AC400I101,노인요양시설,972.0,134.0,237452.0,11324152.0,10035951.0
2013,강원,춘천시,15350AC400I101,노인요양시설(구법),118.0,11.0,10206.0,357889.0,320059.0
2013,강원,춘천시,15350AC400I101,노인요양시설(단기보호전환),54.0,11.0,5066.0,204927.0,170065.0
2013,강원,춘천시,15350AC400I101,노인전문요양시설(구법),192.0,18.0,17177.0,815340.0,751847.0
2013,강원,춘천시,15350AC400I101,단기보호,46.0,11.0,3228.0,127572.0,110550.0
2013,강원,춘천시,15350AC400I101,방문간호,304.0,11.0,7113.0,261848.0,232340.0
2013,강원,춘천시,15350AC400I101,방문목욕,611.0,61.0,16759.0,721494.0,644201.0
2013,강원,춘천시,15350AC400I101,방문요양,1892.0,176.0,333569.0,11308067.0,10075856.0
2013,강원,춘천시,15350AC400I101,복지용구,1240.0,110.0,0.0,676880.0,605560.0
2013,강원,춘천시,15350AC400I101,주야간보호,126.0,24.0,17682.0,581094.0,512075.0
2013,강원,태백시,15350AC400I105,계,434.0,124.0,95765.0,4294289.0,3811967.0
2013,강원,태백시,15350AC400I105,노인요양공동생활가정,3.0,4.0,417.0,17556.0,13972.0
2013,강원,태백시,15350AC400I105,노인요양시설,255.0,39.0,65734.0,3167155.0,2807672.0
2013,강원,태백시,15350AC400I105,노인요양시설(구법),3.0,3.0,268.0,8959.0,7464.0
2013,강원,태백시,15350AC400I105,노인요양시설(단기보호전환),3.0,3.0,358.0,15057.0,12061.0
2013,강원,태백시,15350AC400I105,노인전문요양시설(구법),5.0,5.0,507.0,23078.0,19184.0
2013,강원,태백시,15350AC400I105,단기보호,1.0,1.0,80.0,3622.0,3108.0
2013,강원,태백시,15350AC400I105,방문간호,7.0,2.0,147.0,5651.0,5217.0
2013,강원,태백시,15350AC400I105,방문목욕,106.0,9.0,2229.0,147260.0,132797.0
2013,강원,태백시,15350AC400I105,방문요양,177.0,39.0,25715.0,855117.0,765051.0
2013,강원,태백시,15350AC400I105,복지용구,85.0,34.0,0.0,38694.0,34830.0
2013,강원,태백시,15350AC400I105,주야간보호,4.0,5.0,310.0,12140.0,10609.0
2013,강원,평창군,15350AC400I111,계,499.0,200.0,107667.0,4594349.0,4010102.0
2013,강원,평창군,15350AC400I111,노인요양공동생활가정,71.0,34.0,14740.0,651684.0,566470.0
2013,강원,평창군,15350AC400I111,노인요양시설,230.0,76.0,57000.0,2681212.0,2321200.0
2013,강원,평창군,15350AC400I111,노인요양시설(구법),2.0,2.0,132.0,4605.0,3701.0
2013,강원,평창군,15350AC400I111,노인요양시설(단기보호전환),6.0,5.0,485.0,18999.0,15995.0
2013,강원,평창군,15350AC400I111,노인전문요양시설(구법),5.0,5.0,364.0,16735.0,13999.0
2013,강원,평창군,15350AC400I111,단기보호,2.0,2.0,10.0,375.0,322.0
2013,강원,평창군,15350AC400I111,방문간호,1.0,1.0,1.0,32.0,27.0
2013,강원,평창군,15350AC400I111,방문목욕,98.0,10.0,2072.0,100503.0,90664.0
2013,강원,평창군,15350AC400I111,방문요양,204.0,32.0,29438.0,935297.0,835351.0
2013,강원,평창군,15350AC400I111,복지용구,108.0,48.0,0.0,62856.0,56034.0
2013,강원,평창군,15350AC400I111,주야간보호,17.0,10.0,3425.0,122052.0,106338.0
2013,강원,홍천군,15350AC400I108,계,910.0,263.0,190822.0,7968871.0,7009084.0
2013,강원,홍천군,15350AC400I108,노인요양공동생활가정,76.0,27.0,16598.0,748020.0,658422.0
2013,강원,홍천군,15350AC400I108,노인요양시설,359.0,57.0,79249.0,3689657.0,3242987.0
2013,강원,홍천군,15350AC400I108,노인요양시설(구법),22.0,7.0,2625.0,93167.0,84692.0
2013,강원,홍천군,15350AC400I108,노인요양시설(단기보호전환),10.0,9.0,1102.0,43813.0,36940.0
2013,강원,홍천군,15350AC400I108,노인전문요양시설(구법),93.0,7.0,9071.0,417382.0,374587.0
2013,강원,홍천군,15350AC400I108,단기보호,6.0,7.0,394.0,14980.0,12745.0
2013,강원,홍천군,15350AC400I108,방문간호,56.0,6.0,1260.0,57682.0,50806.0
2013,강원,홍천군,15350AC400I108,방문목욕,89.0,27.0,1698.0,69329.0,61198.0
2013,강원,홍천군,15350AC400I108,방문요양,470.0,92.0,75197.0,2573770.0,2257221.0
2013,강원,홍천군,15350AC400I108,복지용구,273.0,54.0,0.0,141397.0,124682.0
2013,강원,홍천군,15350AC400I108,주야간보호,23.0,13.0,3628.0,119674.0,104804.0
2013,강원,화천군,15350AC400I114,계,322.0,133.0,71215.0,3102666.0,2790124.0
2013,강원,화천군,15350AC400I114,노인요양공동생활가정,27.0,14.0,5323.0,241173.0,211598.0
