longTermAdminSym_request,adminPttnCd_request,siDoCd_request,siGunGuCd_request,adminNm_request,resultCode,resultMsg,cyclTm,longTermAdminSym,pgmNm,pgmType,runPlc,tgtNop
24812000359,B03,48,121,안정재활재가센터,00,NORMAL SERVICE.,1,24812000359,신체프로그램,3,주간보호센터 프로그램실,52
24812000415,B03,48,125,남가람 노인 통합지원센터,00,NORMAL SERVICE.,1,24812000415,원예프로그램,3,프로그램실,45
24812000424,B03,48,123,태양재가노인복지센터,00,NORMAL SERVICE.,1,24812000424,"뇌건강체조,미술활동,수학,한글,칠교 등",1,생활실,21
24825000612,B04,48,250,큰나무주간보호센터,00,NORMAL SERVICE.,1,24825000612,인지수,1,생활실,59
24811000045,B05,48,123,희연재가커뮤니티케어센터,00,NORMAL SERVICE.,1,24811000045,"인지활동-네일아트.이,미용활동",1,주간보호센터,62
24812000624,B05,48,121,행복한재가방문요양센터,00,NORMAL SERVICE.,,,,,,
24812000633,B05,48,127,백세행복노인복지센터 내서점,00,NORMAL SERVICE.,1,24812000633,미술프로그램,1,다목적실,70
24812000768,B05,48,127,참방문간호요양센터,00,NORMAL SERVICE.,,,,,,
24812000847,B05,48,121,창원 효사랑주간보호센터,00,NORMAL SERVICE.,1,24812000847,국악배우기,1,생활실/프로그램실,37
24812000850,B05,48,123,창원 효 방문간호재가센터,00,NORMAL SERVICE.,,,,,,
24812000589,B06,48,121,우리복지의료기,00,NORMAL SERVICE.,,,,,,
24812000611,B06,48,121,돌봄의료기복지용구,00,NORMAL SERVICE.,,,,,,
24812000636,B06,48,127,해피케어,00,NORMAL SERVICE.,,,,,,
24812000640,B06,48,121,세종메디,00,NORMAL SERVICE.,,,,,,
24812000739,B06,48,127,해피한 복지용구사업소,00,NORMAL SERVICE.,,,,,,
24812000767,B06,48,125,효담 재가노인복지센터,00,NORMAL SERVICE.,,,,,,
34811000001,C01,48,121,설암재가노인복지센터,00,NORMAL SERVICE.,,,,,,
34811000048,C01,48,123,은광재가복지센터,00,NORMAL SERVICE.,,,,,,
34811000051,C01,48,123,새경남노인복지센터,00,NORMAL SERVICE.,,,,,,
34811000056,C01,48,121,예명 재가복지센터,00,NORMAL SERVICE.,,,,,,
34811000067,C01,48,125,늘돌봄터,00,NORMAL SERVICE.,,,,,,
34811000071,C01,48,123,영남방문요양센터,00,NORMAL SERVICE.,,,,,,
34811000001,C02,48,121,설암재가노인복지센터,00,NORMAL SERVICE.,,,,,,
34811000048,C02,48,123,은광재가복지센터,00,NORMAL SERVICE.,,,,,,
34811000051,C02,48,123,새경남노인복지센터,00,NORMAL SERVICE.,,,,,,
34811000056,C02,48,121,예명 재가복지센터,00,NORMAL SERVICE.,,,,,,
34811000067,C02,48,125,늘돌봄터,00,NORMAL SERVICE.,,,,,,
34811000071,C02,48,123,영남방문요양센터,00,NORMAL SERVICE.,,,,,,
34812000150,C03,48,125,경남다올노인복지센터,00,NORMAL SERVICE.,1,34812000150,"언어,미술",1,경남다올노인복지센터 5층 프로그램실,48
34812000233,C03,48,121,소답노인장기요양센터,00,NORMAL SERVICE.,1,34812000233,"얼굴팩, 다리마사지등",3,3~4층 생활실,24
34812000260,C03,48,121,예본노인복지센터,00,NORMAL SERVICE.,60,34812000260,시니어레크,3,생활실,31
34812000331,C03,48,129,사랑방 주.야간복지센터,00,NORMAL SERVICE.,1,34812000331,기타프로그램(요리외),3,프로그램 혹은 생활실,38
34812000358,C03,48,121,행복나눔재가장기요양기관,00,NORMAL SERVICE.,30,34812000358,노인인권 및 학대예방/낙상예방,3,공동 프로그램실,9
34812000375,C03,48,125,한울노인복지기관,00,NORMAL SERVICE.,1,34812000375,그림자 찾기,1,한울노인복지기관,40
34825000252,C04,48,250,가나안노인복지센터,00,NORMAL SERVICE.,1,34825000252,음악프로그램,3,"주간보호 생활실 5층, 6층",52
34811000001,C05,48,121,설암재가노인복지센터,00,NORMAL SERVICE.,,,,,,
34812000263,C05,48,129,웅동방문간호요양센터,00,NORMAL SERVICE.,,,,,,
34812000328,C05,48,127,푸른방문간호요양센터,00,NORMAL SERVICE.,,,,,,
34812000573,C05,48,121,누림재가복지센터,00,NORMAL SERVICE.,,,,,,
34816000145,C05,48,125,재가장기요양기관 새론,00,NORMAL SERVICE.,1,34816000145,인지 프로그램,1,재가장기요양기관 새론,70
34811000043,C06,48,121,정우의료기,00,NORMAL SERVICE.,,,,,,
34811000084,C06,48,121,(주)한국메디칼,00,NORMAL SERVICE.,1,34811000084,직원 질향상교육,3,경남 창원시 팔용동 136-11번지 한국메디칼,3
34811000085,C06,48,121,국제의료기,00,NORMAL SERVICE.,,,,,,
34811000105,C06,48,121,정동통상의료기,00,NORMAL SERVICE.,,,,,,
34812000170,C06,48,127,(주)하울,00,NORMAL SERVICE.,,,,,,
14812000478,G31,48,129,효림요양원,00,NORMAL SERVICE.,1,14812000478,요리프로그램,1,"각 층 생활관 홀, 식당",64
14812000781,G31,48,125,새론케어,00,NORMAL SERVICE.,1,14812000781,신체A(국민체조/낙상예방체조/힘뇌체조/프로필촬영),2,각반 생활실(거실),53
14816000037,G31,48,127,창원삼계요양원,00,NORMAL SERVICE.,1,14816000037,신체기능프로그램- 체조외,1,신관프로그램실,24
14817000013,G31,48,170,공덕의집 노인요양원,00,NORMAL SERVICE.,1,14817000013,집단프로그램,7,치매전담실 홀,10
14817000138,G31,48,170,반도노인요양원,00,NORMAL SERVICE.,1,14817000138,일반실) 인지기능 프로그램,1,프로그램실,111
14812000478,G32,48,129,효림요양원,00,NORMAL SERVICE.,1,14812000478,요리프로그램,1,"각 층 생활관 홀, 식당",64
14816000037,G32,48,127,창원삼계요양원,00,NORMAL SERVICE.,1,14816000037,신체기능프로그램- 체조외,1,신관프로그램실,24
14817000138,G32,48,170,반도노인요양원,00,NORMAL SERVICE.,1,14817000138,일반실) 인지기능 프로그램,1,프로그램실,111
14824000004,G32,48,240,사천노인전문요양원,00,NORMAL SERVICE.,1,14824000004,신체기능프로그램,2,"2층,3층 중앙거실/생활실",58
14824000059,G32,48,240,사천행복요양원,REQUEST_ERROR,HTTPError: HTTP Error 429: Too Many Requests,,,,,,
14816000037,G33,48,127,창원삼계요양원,00,NORMAL SERVICE.,1,14816000037,신체기능프로그램- 체조외,1,신관프로그램실,24
24812000761,H31,48,121,희연치매전담형주간보호,00,NORMAL SERVICE.,1,24812000761,인지프로그램,7,,9
24822000113,H31,48,220,백세시대 청춘실버케어센터,00,NORMAL SERVICE.,1,24822000113,요리교실,7,프로그램실,20
24824000006,H31,48,240,사천노인복지센터,00,NORMAL SERVICE.,1,24824000006,신체프로그램,3,프로그램실,17
24824000133,H31,48,240,사천기억학교,00,NORMAL SERVICE.,1,24824000133,신체활동 프로그램,3,생활실,28
24825000536,H31,48,250,㈜케어링 주간보호센터 김해점,REQUEST_ERROR,HTTPError: HTTP Error 429: Too Many Requests,,,,,,
24812000761,H32,48,121,희연치매전담형주간보호,00,NORMAL SERVICE.,1,24812000761,인지프로그램,7,,9
